Word,Meaning
surrogate,substitute; person or thing used in place of another; Ex. surrogate mother; ADJ.
surveillance,close observation of a person (esp. one under suspicion); watching; guarding
susceptible,impressionable; easily influenc ed; sensitive; having little
suspend,cause to stop for a period; interrupt; hold in abeyance; defer; hang from above; exclude for a period from a position; Ex.
suspense,state of being undecided; anxiety or apprehension resulting from
sustain,suffer (harm or loss); experience; support; prop; maintain; keep in existence; nourish (to maintain life); Ex. sustain the family/the
sustenance,"sustaining; means of livelihood, support, food, nourishment;"
suture,stitches sewn to hold the cut edges of a wound or incision;
swagger,walk or behave with an over-confident manner
swamp,wetland; marsh; V: flood; ov erwhelm; drench in with liquid
swarm,large group of insects moving in a mass; crowd of people or animals; V: move in a crowd or mass
swarthy,(of a skin or complexion) dark; dusky; Ex. swarthy Italian ?
swathe,swath; wrap around; bandage; Ex. one's head swathed in
sway,swing from side to side; influence (someone) to change one's
swear,vow; promise; use profane oaths; use offensive words
swear-word,word considered offensive; Ex. ``bloody''
swell,long wave of water that mo ves continuously without breaking; V.
swelter,(of a person) suffer from oppr essive heat; be oppressed by heat
swerve,deviate; turn aside sharply from a straight course; Ex. swerve from the principle; Ex. The car swerved to the right.
swill,drink greedily
swindler,cheater
swipe,hit with a sweeping motion; N.
sybarite,lover of luxury; person devoted to pleasure and luxury; CF.
sycophant,servile flatterer; boot licker; yes man; ADJ. sycophantic
syllogism,"logical formula consisting of a major premise, a minor premise"
sylvan,pertaining to the woods or the country
symbiosis,"interdependent relationship (between groups, species) often mutually beneficial; ADJ. symbiotic; CF. together + life"
symmetry,arrangement of parts so that balance is obtained; congruity; ADJ.
synchronous,similarly timed; simultaneous wi th; occurring at the same time;
synoptic,providing a general overview; summary; N. synopsis
synthesis,combining parts or separate thin gs into a whole; the whole so
synthetic,not natural; artificial; resulting from synthesis; Ex. synthetic
